id,title,link,image_link,price,description
12603,"Kraus Severn II EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7242 02",http://23.251.155.152/kraus-severn-ii-eurotile-collection-portico-19-7-x-19-7-carpet-tile-7242-02/kraus/catalog_12603.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/12603.jpg,1.7900,"Kraus Severn II EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7242 02"
59918,"Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04",http://23.251.155.152/kraus-danube-eurotile-collection-silver-19-7-x-19-7-carpet-tile-7041-04/kraus/catalog_59918.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59918.jpg,1.7900,"Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04"
59920,"Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02",http://23.251.155.152/kraus-danube-eurotile-collection-charcoal-19-7-x-19-7-carpet-tile-7041-02/kraus/catalog_59920.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59920.jpg,1.7900,"Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02"
59921,"Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01",http://23.251.155.152/kraus-danube-eurotile-collection-brown-19-7-x-19-7-carpet-tile-7041-01/carpet-tile/kraus/catalog_59921.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59921.jpg,1.7900,"Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01"
59927,"Kraus Trent EuroTile Collection: Rustic Taupe 19.7"" x 19.7"" Carpet Tile 7193 01",http://23.251.155.152/kraus-trent-eurotile-collection-rustic-taupe-19-7-x-19-7-carpet-tile-7193-01/kraus/catalog_59927.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59927.jpg,1.7900,"Kraus Trent EuroTile Collection: Rustic Taupe 19.7"" x 19.7"" Carpet Tile 7193 01"
59928,"Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04",http://23.251.155.152/kraus-trent-eurotile-collection-old-silver-19-7-x-19-7-carpet-tile-7193-04/carpet-tile/kraus/catalog_59928.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59928.jpg,1.7900,"Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04"
10416,"Tarkett Heritage: Oak Rustic 8mm Laminate 140830",http://23.251.155.152/tarkett-heritage-oak-rustic-8mm-laminate-140830/tarkett/catalog_10416.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10416.jpg,1.9898,"Tarkett Heritage: Oak Rustic 8mm Laminate 140830"
10417,"Tarkett Heritage: Oak Dark 8mm Laminate 138383",http://23.251.155.152/tarkett-heritage-oak-dark-8mm-laminate-138383/tarkett/catalog_10417.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10417.jpg,1.9898,"Tarkett Heritage: Oak Dark 8mm Laminate 138383"
10418,"Tarkett Heritage: Oak Light 8mm Laminate 139385",http://23.251.155.152/tarkett-heritage-oak-light-8mm-laminate-139385/tarkett/catalog_10418.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10418.jpg,1.9898,"Tarkett Heritage: Oak Light 8mm Laminate 139385"
10419,"Tarkett Heritage: Oak Brown 8mm Laminate 138382",http://23.251.155.152/tarkett-heritage-oak-brown-8mm-laminate-138382/tarkett/catalog_10419.htm?SID=svk51b6kp3cmgqjpdqtco3j9s1,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10419.jpg,1.9898,"Tarkett Heritage: Oak Brown 8mm Laminate 138382"
